,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
282,1997,11/8/1997,vs.,Northwestern,,L,21.0,34.0,
283,1997,11/15/1997,@,Ohio State,,L,6.0,41.0,
284,1997,11/22/1997,vs.,Michigan State,,L,17.0,27.0,
285,1996,8/31/1996,@,Michigan,,L,8.0,20.0,
286,1996,9/7/1996,vs.,Southern California,,L,3.0,55.0,
287,1996,9/14/1996,@,Arizona,,L,0.0,41.0,
288,1996,9/21/1996,vs.,Akron,,W,38.0,7.0,
289,1996,10/5/1996,vs.,Indiana,,W,46.0,43.0,
290,1996,10/12/1996,@,Michigan State,,L,14.0,42.0,
291,1996,10/26/1996,@,Northwestern,,L,24.0,27.0,
292,1996,11/2/1996,vs.,Iowa,,L,21.0,31.0,Homecoming
293,1996,11/9/1996,vs.,Ohio State,,L,0.0,48.0,
294,1996,11/16/1996,@,Minnesota,,L,21.0,23.0,
295,1996,11/23/1996,vs.,Wisconsin,,L,15.0,35.0,
296,1995,9/2/1995,vs.,Michigan,,L,14.0,38.0,
297,1995,9/9/1995,@,Oregon,,L,31.0,34.0,
298,1995,9/16/1995,vs.,Arizona,,W,9.0,7.0,
299,1995,9/23/1995,vs.,East Carolina,,W,7.0,0.0,
300,1995,10/7/1995,@,Indiana,,W,17.0,10.0,
301,1995,10/14/1995,vs.,Michigan State,,L,21.0,27.0,
302,1995,10/28/1995,vs.,Northwestern,,L,14.0,17.0,Homecoming
303,1995,11/4/1995,@,Iowa,,W,26.0,7.0,
304,1995,11/11/1995,@,Ohio State,,L,3.0,41.0,
305,1995,11/18/1995,vs.,Minnesota,,W,48.0,14.0,
306,1995,11/25/1995,@,Wisconsin,,T,3.0,3.0,
307,1994,9/1/1994,"Chicago, IL",Washington State,,L,9.0,10.0,
308,1994,9/10/1994,vs.,Missouri,,W,42.0,0.0,
309,1994,9/17/1994,vs.,Northern Illinois,,W,34.0,10.0,
310,1994,10/1/1994,vs.,Purdue,,L,16.0,22.0,Homecoming
311,1994,10/8/1994,@,Ohio State,,W,24.0,10.0,
312,1994,10/15/1994,vs.,Iowa,,W,47.0,7.0,
313,1994,10/22/1994,vs.,Michigan,,L,14.0,19.0,
314,1994,10/29/1994,@,Northwestern,,W,28.0,7.0,
315,1994,11/5/1994,@,Minnesota,,W,21.0,17.0,
316,1994,11/12/1994,vs.,Penn State,,L,31.0,35.0,
317,1994,11/19/1994,@,Wisconsin,,L,13.0,19.0,
318,1994,12/31/1994,"Memphis, TN",East Carolina,,W,30.0,0.0,Liberty Bowl
319,1993,9/11/1993,@,Missouri,,L,3.0,31.0,
320,1993,9/18/1993,vs.,Arizona,,L,14.0,16.0,
321,1993,9/25/1993,vs.,Oregon,,L,7.0,13.0,
322,1993,10/2/1993,@,Purdue,,W,28.0,10.0,
323,1993,10/9/1993,vs.,Ohio State,,L,12.0,20.0,
324,1993,10/16/1993,@,Iowa,,W,49.0,3.0,
325,1993,10/23/1993,@,Michigan,,W,24.0,21.0,
326,1993,10/30/1993,vs.,Northwestern,,W,20.0,13.0,Homecoming
327,1993,11/6/1993,vs.,Minnesota,,W,23.0,20.0,
328,1993,11/13/1993,@,Penn State,,L,14.0,28.0,
329,1993,11/20/1993,vs.,Wisconsin,,L,10.0,35.0,
330,1992,9/5/1992,vs.,Northern Illinois,,W,30.0,14.0,
331,1992,9/12/1992,vs.,Missouri,,W,24.0,17.0,
332,1992,9/19/1992,@,Houston,,L,13.0,31.0,
333,1992,10/3/1992,@,Minnesota,,L,17.0,18.0,
334,1992,10/10/1992,@,Ohio State,,W,18.0,16.0,
335,1992,10/17/1992,vs.,Iowa,,L,14.0,24.0,
336,1992,10/24/1992,vs.,Northwestern,,L,26.0,27.0,Homecoming
337,1992,10/31/1992,@,Wisconsin,,W,13.0,12.0,
338,1992,11/7/1992,vs.,Purdue,,W,20.0,17.0,
339,1992,11/14/1992,@,Michigan,,T,22.0,22.0,
340,1992,11/21/1992,vs.,Michigan State,,W,14.0,10.0,
341,1992,12/30/1992,"San Diego, CA",Hawaii,,L,17.0,27.0,Holiday Bowl
342,1991,8/31/1991,vs.,East Carolina,,W,38.0,31.0,
343,1991,9/14/1991,@,Missouri,,L,19.0,23.0,
344,1991,9/21/1991,vs.,Houston,,W,51.0,10.0,
345,1991,10/5/1991,vs.,Minnesota,,W,24.0,3.0,Homecoming
346,1991,10/12/1991,vs.,Ohio State,,W,10.0,7.0,
347,1991,10/19/1991,@,Iowa,,L,21.0,24.0,
348,1991,10/26/1991,@,Northwestern,,L,11.0,17.0,
349,1991,11/2/1991,vs.,Wisconsin,,W,22.0,6.0,
350,1991,11/9/1991,@,Purdue,,W,41.0,14.0,
351,1991,11/16/1991,vs.,Michigan,,L,0.0,20.0,
